Date,Close/Last,Volume,Open,High,Low
12/1/2022,$95.16 ,20011749,$96.99 ,$97.23 ,$94.92 
11/30/2022,$96.54 ,102805800,$92.47 ,$96.54 ,$91.53 
11/29/2022,$92.42 ,65567290,$94.04 ,$94.41 ,$91.44 
11/28/2022,$93.95 ,75062320,$93.93 ,$96.40 ,$93.43 
11/25/2022,$93.41 ,35088610,$93.79 ,$94.43 ,$93.07 
11/23/2022,$94.13 ,59414680,$93.24 ,$94.58 ,$92.83 
11/22/2022,$93.20 ,62191960,$92.62 ,$93.35 ,$90.87 
11/21/2022,$92.46 ,84330270,$93.97 ,$95.02 ,$90.59 
11/18/2022,$94.14 ,72428190,$95.95 ,$95.99 ,$92.48 
11/17/2022,$94.85 ,82617870,$95.37 ,$96.97 ,$94.03 
11/16/2022,$97.12 ,87958830,$96.85 ,$98.49 ,$95.54 
11/15/2022,$98.94 ,111336300,$103.21 ,$103.79 ,$97.34 
11/14/2022,$98.49 ,99533070,$98.77 ,$100.12 ,$97.29 
11/11/2022,$100.79 ,111590500,$97.88 ,$101.19 ,$96.66 
11/10/2022,$96.63 ,173414900,$92.94 ,$98.69 ,$91.65 
11/9/2022,$86.14 ,90796250,$89.47 ,$89.48 ,$85.87 
11/8/2022,$89.98 ,88703370,$90.79 ,$91.72 ,$88.23 
11/7/2022,$90.53 ,77495730,$91.95 ,$92.10 ,$89.04 
11/4/2022,$90.98 ,129101300,$91.49 ,$92.44 ,$88.04 
11/3/2022,$89.30 ,136683300,$92.47 ,$93.50 ,$89.02 
11/2/2022,$92.12 ,135761800,$97.32 ,$97.74 ,$92.01 
11/1/2022,$96.79 ,153370000,$103.99 ,$104.58 ,$96.06 
10/31/2022,$102.44 ,99251400,$103.56 ,$104.87 ,$100.74 
10/28/2022,$103.41 ,223133400,$97.91 ,$103.96 ,$97.66 
10/27/2022,$110.96 ,129605400,$113.92 ,$114.12 ,$109.77 
10/26/2022,$115.66 ,69002460,$116 ,$119.35 ,$114.76 
10/25/2022,$120.60 ,50934610,$119.65 ,$121.32 ,$118.95 
10/24/2022,$119.82 ,49531520,$119.98 ,$120.39 ,$116.57 
10/21/2022,$119.32 ,55660490,$114.79 ,$119.59 ,$114.50 
10/20/2022,$115.25 ,48795100,$113.83 ,$118.24 ,$113.51 
10/19/2022,$115.07 ,47198120,$114.71 ,$116.59 ,$113.22 
10/18/2022,$116.36 ,65607450,$119.06 ,$119.52 ,$114.79 
10/17/2022,$113.79 ,62781990,$110.11 ,$114.19 ,$110.09 
10/14/2022,$106.90 ,67737340,$114.10 ,$114.96 ,$106.60 
10/13/2022,$112.53 ,86868100,$107.88 ,$113.44 ,$105.35 
10/12/2022,$112.90 ,45728660,$112.49 ,$113.83 ,$111.40 
10/11/2022,$112.21 ,56432230,$112.71 ,$115.48 ,$110.39 
10/10/2022,$113.67 ,42339680,$115.10 ,$116.25 ,$112.43 
10/7/2022,$114.56 ,54677980,$118 ,$118.17 ,$113.88 
10/6/2022,$120.30 ,42253760,$120.77 ,$121.53 ,$119.50 
10/5/2022,$120.95 ,48217540,$118.58 ,$121.75 ,$117.69 
10/4/2022,$121.09 ,62812560,$119.89 ,$123 ,$119.79 
10/3/2022,$115.88 ,50941850,$113.58 ,$116.91 ,$112.45 
9/30/2022,$113 ,59479590,$114.08 ,$116.92 ,$112.84 
9/29/2022,$114.80 ,58969710,$115.60 ,$116.07 ,$113.06 
9/28/2022,$118.01 ,55763750,$114.38 ,$118.70 ,$113.80 
9/27/2022,$114.41 ,60094690,$117.20 ,$118.32 ,$113.05 
9/26/2022,$115.15 ,62723270,$113.30 ,$117.34 ,$113.13 
9/23/2022,$113.78 ,65126670,$116 ,$116.05 ,$112.06 
9/22/2022,$117.31 ,55229190,$117.08 ,$118.79 ,$116.26 
9/21/2022,$118.54 ,58498890,$122.49 ,$123.76 ,$118.45 
9/20/2022,$122.19 ,47698430,$123.35 ,$124.40 ,$121.14 
9/19/2022,$124.66 ,47279730,$122.16 ,$124.71 ,$121.80 
9/16/2022,$123.53 ,115667800,$122.78 ,$123.87 ,$120.70 
9/15/2022,$126.28 ,52887200,$127.38 ,$130.37 ,$125.50 
9/14/2022,$128.55 ,45316770,$127.36 ,$128.84 ,$126.33 
9/13/2022,$126.82 ,72694010,$131.01 ,$131.40 ,$126.27 
9/12/2022,$136.45 ,53826860,$134.10 ,$136.49 ,$134 
9/9/2022,$133.27 ,49422260,$130.91 ,$133.69 ,$130.76 
9/8/2022,$129.82 ,43988510,$127.72 ,$130.28 ,$127.10 
9/7/2022,$129.48 ,47834490,$126.12 ,$129.82 ,$125.40 
9/6/2022,$126.11 ,43888590,$127.92 ,$128.62 ,$124.74 
9/2/2022,$127.51 ,57429830,$129.50 ,$131.38 ,$126.39 
9/1/2022,$127.82 ,56636150,$126 ,$128.02 ,$123.66 
8/31/2022,$126.77 ,53648700,$129.45 ,$130.59 ,$126.74 
8/30/2022,$128.73 ,49202990,$131.25 ,$132.07 ,$126.85 
8/29/2022,$129.79 ,48101640,$129.90 ,$131.95 ,$128.77 
8/26/2022,$130.75 ,53322660,$136.55 ,$137.83 ,$130.50 
8/25/2022,$137.28 ,37496280,$135.26 ,$137.42 ,$134.28 
8/24/2022,$133.80 ,38626980,$132.75 ,$135.47 ,$132.10 
8/23/2022,$133.62 ,36252100,$133.41 ,$134.99 ,$132.95 
8/22/2022,$133.22 ,50461500,$135.72 ,$136.32 ,$132.85 
8/19/2022,$138.23 ,47792840,$140.47 ,$141.11 ,$137.91 
8/18/2022,$142.30 ,37458740,$141.32 ,$142.77 ,$140.38 
8/17/2022,$142.10 ,48149780,$142.69 ,$143.38 ,$140.78 
8/16/2022,$144.78 ,59102860,$143.91 ,$146.57 ,$142 
8/15/2022,$143.18 ,39014580,$142.80 ,$143.76 ,$141.49 
8/12/2022,$143.55 ,47643480,$142.05 ,$143.57 ,$140.12 
8/11/2022,$140.64 ,44867340,$143.86 ,$144.49 ,$139.76 
8/10/2022,$142.69 ,54773820,$142.90 ,$144.60 ,$141.01 
8/9/2022,$137.83 ,40434720,$138.05 ,$138.95 ,$136.21 
8/8/2022,$139.41 ,52303480,$142.05 ,$144.23 ,$138.29 
8/5/2022,$140.80 ,50686870,$140.10 ,$142.86 ,$139.60 
8/4/2022,$142.57 ,70585020,$140.58 ,$143.56 ,$139.55 
8/3/2022,$139.52 ,71827780,$136.21 ,$140.49 ,$136.05 
8/2/2022,$134.16 ,61922430,$134.72 ,$137.44 ,$134.09 
8/1/2022,$135.39 ,76846910,$134.96 ,$138.83 ,$133.51 
7/29/2022,$134.95 ,148892900,$134.90 ,$137.65 ,$132.41 
7/28/2022,$122.28 ,82245540,$121.57 ,$122.84 ,$118.08 
7/27/2022,$120.97 ,61582020,$117.31 ,$121.90 ,$117.16 
7/26/2022,$114.81 ,67075060,$115.79 ,$118.15 ,$114.53 
7/25/2022,$121.14 ,50221260,$122.70 ,$123.64 ,$120.03 
7/22/2022,$122.42 ,51463800,$125.01 ,$125.50 ,$121.35 
7/21/2022,$124.63 ,60239890,$123.20 ,$124.85 ,$121.26 
7/20/2022,$122.77 ,71268320,$118.62 ,$123.48 ,$118.32 
7/19/2022,$118.21 ,60990040,$115.70 ,$118.95 ,$114.03 
7/18/2022,$113.76 ,59115420,$115 ,$117.24 ,$113.15 
7/15/2022,$113.55 ,84317820,$112.50 ,$115.59 ,$111.59 
7/14/2022,$110.63 ,51163140,$110.24 ,$111.18 ,$107.58 
7/13/2022,$110.40 ,61353810,$107.03 ,$111.78 ,$106.01 
7/12/2022,$109.22 ,54280260,$112.16 ,$113.23 ,$108.34 
7/11/2022,$111.75 ,53540020,$114.08 ,$114.30 ,$110.87 
7/8/2022,$115.54 ,45719690,$114.60 ,$116.58 ,$113.69 
7/7/2022,$116.33 ,57872320,$113.85 ,$116.99 ,$113.49 
7/6/2022,$114.33 ,66958880,$113.21 ,$115.48 ,$112.01 
7/5/2022,$113.50 ,76684410,$107.60 ,$114.08 ,$106.32 
7/1/2022,$109.56 ,73021170,$106.29 ,$109.75 ,$105.85 
6/30/2022,$106.21 ,97679400,$108.11 ,$108.18 ,$102.52 
6/29/2022,$108.92 ,66375340,$107.38 ,$110.99 ,$106.91 
6/28/2022,$107.40 ,75172030,$113.50 ,$114.85 ,$107.04 
6/27/2022,$113.22 ,62133240,$117.09 ,$117.98 ,$112.70 
6/24/2022,$116.46 ,69867620,$112.38 ,$116.71 ,$111.43 
6/23/2022,$112.44 ,64345300,$110.39 ,$113 ,$107.93 
6/22/2022,$108.95 ,60040130,$107.43 ,$112.13 ,$107.02 
6/21/2022,$108.68 ,70901250,$108.20 ,$111.63 ,$103.56 
6/17/2022,$106.22 ,99772150,$102.80 ,$106.98 ,$102.51 
6/16/2022,$103.66 ,82186300,$104.47 ,$104.58 ,$102.01 
6/15/2022,$107.67 ,85011060,$103.86 ,$109.06 ,$103.53 
6/14/2022,$102.31 ,69728760,$104.19 ,$104.88 ,$101.43 
6/13/2022,$103.67 ,99277740,$104.19 ,$106.54 ,$101.86 
6/10/2022,$109.65 ,87412250,$113.42 ,$114.50 ,$109.05 
6/9/2022,$116.15 ,67029840,$119.99 ,$121.30 ,$116.10 
6/8/2022,$121.18 ,64926590,$122.61 ,$123.75 ,$120.75 
6/7/2022,$123 ,85156710,$122.01 ,$124.10 ,$120.63 
6/6/2022,$124.79 ,135269000,$125.25 ,$128.99 ,$123.81 
6/3/2022,$122.35 ,97603320,$124.20 ,$124.40 ,$121.05 
6/2/2022,$125.51 ,100560680,$121.68 ,$125.61 ,$120.05 
6/1/2022,$121.68 ,127528980,$122.26 ,$125.18 ,$120.62 
5/31/2022,$120.21 ,144634160,$116.28 ,$121.99 ,$115.68 
5/27/2022,$115.15 ,93660160,$113.55 ,$115.19 ,$112.63 
5/26/2022,$111.08 ,93002600,$107.97 ,$112.67 ,$107.45 
5/25/2022,$106.78 ,93120100,$103.66 ,$108.18 ,$103.65 
5/24/2022,$104.10 ,102934680,$104.03 ,$105.40 ,$101.26 
5/23/2022,$107.56 ,107797360,$108.46 ,$108.82 ,$103.95 
5/20/2022,$107.59 ,99500640,$109.57 ,$109.90 ,$105.01 
5/19/2022,$107.32 ,88142540,$106.28 ,$110.03 ,$106.19 
5/18/2022,$107.11 ,108379180,$111.44 ,$112.85 ,$106.25 
5/17/2022,$115.37 ,76447740,$113.28 ,$115.80 ,$111.28 
5/16/2022,$110.81 ,74565740,$113.10 ,$113.99 ,$110.35 
5/13/2022,$113.06 ,93684560,$109.07 ,$113.18 ,$107.80 
5/12/2022,$106.93 ,132025140,$102.75 ,$110.78 ,$102.41 
5/11/2022,$105.37 ,109703640,$108.10 ,$110.16 ,$104.43 
5/10/2022,$108.86 ,105433820,$111.25 ,$112.64 ,$107.17 
5/9/2022,$108.79 ,128124380,$111.31 ,$114 ,$107.96 
5/6/2022,$114.77 ,124259900,$114.85 ,$119.05 ,$113.08 
5/5/2022,$116.41 ,144391220,$123 ,$123.50 ,$115.07 
5/4/2022,$125.93 ,110745360,$123.60 ,$126 ,$119.18 
5/3/2022,$124.25 ,79133360,$124.05 ,$126.22 ,$122.83 
5/2/2022,$124.50 ,148788980,$122.40 ,$124.67 ,$118.38 
4/29/2022,$124.28 ,272661800,$129.85 ,$130.76 ,$121.63 
4/28/2022,$144.60 ,117316940,$142.18 ,$145.94 ,$140.30 
4/27/2022,$138.17 ,71336300,$140.19 ,$141.95 ,$135.78 
4/26/2022,$139.39 ,77529160,$144.80 ,$144.86 ,$138.93 
4/25/2022,$146.07 ,61874980,$144.02 ,$146.22 ,$142.31 
4/22/2022,$144.35 ,73078580,$148.25 ,$149.62 ,$143.70 
4/21/2022,$148.30 ,63969320,$154.71 ,$156.74 ,$147.59 
4/20/2022,$154.00 ,59630020,$157.60 ,$157.60 ,$153.60 
4/19/2022,$158.12 ,54926420,$152.03 ,$158.65 ,$151.55 
4/18/2022,$152.79 ,46513520,$151.52 ,$154.04 ,$150.25 
4/14/2022,$151.71 ,51598140,$155.39 ,$155.90 ,$151.47 
4/13/2022,$155.54 ,53390880,$150.02 ,$156.03 ,$149.60 
4/12/2022,$150.79 ,55177440,$153.69 ,$155.10 ,$150.38 
4/11/2022,$151.12 ,52112340,$152.71 ,$154.14 ,$150.53 
4/8/2022,$154.46 ,46001660,$156.75 ,$157.37 ,$154.23 
4/7/2022,$157.78 ,68136780,$158.40 ,$160.08 ,$154.51 
4/6/2022,$158.76 ,79055760,$161.65 ,$162.20 ,$157.25 
4/5/2022,$164.06 ,53728560,$167.74 ,$168.11 ,$163.27 
4/4/2022,$168.35 ,50007960,$164.13 ,$168.39 ,$163.21 
4/1/2022,$163.56 ,57089500,$164.15 ,$165.83 ,$162.32 
3/31/2022,$163.00 ,59965780,$166.44 ,$166.50 ,$162.95 
3/30/2022,$166.30 ,56167260,$168.51 ,$168.95 ,$165.50 
3/29/2022,$169.32 ,66153600,$170.38 ,$170.83 ,$167.87 
3/28/2022,$168.99 ,59853820,$164.98 ,$169.04 ,$164.90 
3/25/2022,$164.77 ,49085500,$164 ,$165.37 ,$162.25 
3/24/2022,$163.65 ,56798060,$163.75 ,$164.12 ,$160.05 
3/23/2022,$163.41 ,55811860,$163.71 ,$166.37 ,$162.69 
3/22/2022,$164.89 ,64086120,$161.81 ,$166.17 ,$161.70 
3/21/2022,$161.49 ,66537520,$161.12 ,$163.08 ,$159.55 
3/18/2022,$161.25 ,102962760,$156.81 ,$161.59 ,$156.01 
3/17/2022,$157.24 ,72934840,$152.64 ,$157.50 ,$152.14 
3/16/2022,$153.10 ,84957680,$148.50 ,$153.15 ,$147.35 
3/15/2022,$147.37 ,75584600,$142.85 ,$147.99 ,$142 
3/14/2022,$141.85 ,74086100,$145.98 ,$147.45 ,$140.88 
3/11/2022,$145.52 ,68900560,$149.57 ,$149.68 ,$145.37 
3/10/2022,$146.82 ,135062900,$145.69 ,$148.67 ,$143.98 
3/9/2022,$139.28 ,82656660,$139.50 ,$140.25 ,$136.83 
3/8/2022,$136.01 ,91662580,$136.68 ,$140.70 ,$133.57 
3/7/2022,$137.45 ,86933860,$145.44 ,$146.09 ,$137.42 
3/4/2022,$145.64 ,60983120,$147.16 ,$147.85 ,$143.81 
3/3/2022,$147.90 ,65197200,$153.53 ,$153.93 ,$146.86 
3/2/2022,$152.05 ,47334720,$150.85 ,$153.00 ,$148.75 
3/1/2022,$151.14 ,44873580,$152.73 ,$154.10 ,$149.98 
2/28/2022,$153.56 ,57683420,$152.43 ,$154.45 ,$150.85 
2/25/2022,$153.79 ,62395360,$150.55 ,$153.99 ,$149.21 
2/24/2022,$151.36 ,100785760,$139.84 ,$151.75 ,$139.50 
2/23/2022,$144.83 ,64243560,$151.65 ,$151.76 ,$144.65 
2/22/2022,$150.20 ,66128240,$150.48 ,$152.98 ,$148.49 
2/18/2022,$152.60 ,63604100,$155.50 ,$155.50 ,$150.89 
2/17/2022,$154.65 ,64032500,$158.15 ,$160.35 ,$154.50 
2/16/2022,$158.10 ,52704280,$155.79 ,$158.83 ,$154.73 
2/15/2022,$156.51 ,56970660,$157.61 ,$158.01 ,$154.64 
2/14/2022,$155.17 ,83230700,$151.75 ,$158.45 ,$151.65 
2/11/2022,$153.29 ,77100440,$158.13 ,$159 ,$152.73 
2/10/2022,$159.00 ,68268120,$158.35 ,$160.72 ,$157.75 
2/9/2022,$161.19 ,68785600,$162.87 ,$163.83 ,$160.25 
2/8/2022,$161.41 ,76040360,$156.75 ,$161.79 ,$155.55 
2/7/2022,$157.94 ,102624380,$158.52 ,$162.69 ,$157.25 
2/4/2022,$157.64 ,253455800,$155.61 ,$161.20 ,$150.61 
2/3/2022,$138.85 ,225531400,$141.74 ,$144.25 ,$138.33 
2/2/2022,$150.61 ,87329760,$155.05 ,$155.08 ,$148.86 
2/1/2022,$151.19 ,59219840,$150 ,$151.71 ,$147.63 
1/31/2022,$149.57 ,78307440,$144.75 ,$150.36 ,$144.30 
1/28/2022,$143.98 ,74391980,$140.86 ,$144.00 ,$137.93 
1/27/2022,$139.64 ,77515800,$140.80 ,$144.24 ,$139.35 
1/26/2022,$138.87 ,95601700,$144.75 ,$145.18 ,$137.32 
1/25/2022,$139.99 ,90824660,$142.24 ,$143.60 ,$138.15 
1/24/2022,$144.54 ,156044740,$139 ,$144.95 ,$135.35 
1/21/2022,$142.64 ,163971440,$149.95 ,$150.90 ,$142.07 
1/20/2022,$151.67 ,71973320,$156.77 ,$158 ,$151.35 
1/19/2022,$156.30 ,53241920,$158.76 ,$159.25 ,$156.25 
1/18/2022,$158.92 ,67441440,$159.11 ,$159.73 ,$157.66 
1/14/2022,$162.14 ,45974860,$160.15 ,$162.25 ,$159.80 
1/13/2022,$161.21 ,52188300,$165.25 ,$166.22 ,$161.09 
1/12/2022,$165.21 ,50029120,$166.58 ,$166.88 ,$164.42 
1/11/2022,$165.36 ,62805580,$161.50 ,$166.35 ,$160.70 
1/10/2022,$161.49 ,87798300,$160.59 ,$161.66 ,$156.30 
1/7/2022,$162.55 ,46605900,$163.84 ,$165.24 ,$162.03 
1/6/2022,$163.25 ,51957780,$163.45 ,$164.80 ,$161.94 
1/5/2022,$164.36 ,64302720,$166.88 ,$167.13 ,$164.36 
1/4/2022,$167.52 ,70725160,$170.44 ,$171.40 ,$166.35 
1/3/2022,$170.40 ,63869140,$167.55 ,$170.70 ,$166.16 
12/31/2021,$166.72 ,47830380,$168.96 ,$169.35 ,$166.56 
12/30/2021,$168.64 ,37583100,$169.70 ,$170.89 ,$168.52 
12/29/2021,$169.20 ,35754040,$170.84 ,$171.21 ,$168.60 
12/28/2021,$170.66 ,54711860,$170.18 ,$172.18 ,$169.14 
12/27/2021,$169.67 ,58846820,$171.04 ,$172.94 ,$169.22 
12/23/2021,$171.07 ,36788240,$170.43 ,$171.98 ,$170.15 
12/22/2021,$171.04 ,55035460,$169.27 ,$172.05 ,$168.50 
12/21/2021,$170.42 ,55955820,$167.85 ,$170.72 ,$165.65 
12/20/2021,$167.08 ,57372660,$166.85 ,$167.87 ,$165.60 
12/17/2021,$170.02 ,85755160,$167.71 ,$170.90 ,$165.61 
12/16/2021,$168.87 ,60876840,$173.37 ,$174.17 ,$168.16 
12/15/2021,$173.32 ,75794260,$168.60 ,$173.60 ,$165.20 
12/14/2021,$169.09 ,55975280,$167.55 ,$169.50 ,$166.44 
12/13/2021,$169.57 ,62169000,$172 ,$172.10 ,$169.13 
12/10/2021,$172.21 ,60689760,$175.42 ,$175.93 ,$170.50 
12/9/2021,$174.17 ,46061820,$175.75 ,$176.97 ,$174.14 
12/8/2021,$176.16 ,45253660,$176.15 ,$177.18 ,$174.75 
12/7/2021,$176.16 ,66410720,$174.60 ,$177.50 ,$173.33 
12/6/2021,$171.37 ,68860000,$169.65 ,$173.70 ,$166.93 
12/3/2021,$169.49 ,80711000,$172.75 ,$173.49 ,$166.93 
12/2/2021,$171.87 ,64725760,$173 ,$174.64 ,$171.19 
12/1/2021,$172.19 ,75139900,$177.25 ,$177.99 ,$172.08 
11/30/2021,$175.35 ,80022140,$178.18 ,$179.29 ,$174.60 
11/29/2021,$178.08 ,65311140,$177.38 ,$179.80 ,$176.58 
11/26/2021,$175.23 ,59825940,$180.10 ,$181.68 ,$175.21 
11/24/2021,$179.02 ,46560360,$178.13 ,$180.68 ,$176.84 
11/23/2021,$179.00 ,73844920,$179.25 ,$181.05 ,$176.39 
11/22/2021,$178.63 ,96957000,$183.82 ,$185.67 ,$178.38 
11/19/2021,$183.83 ,98924060,$185.63 ,$188.11 ,$183.79 
11/18/2021,$184.80 ,114070760,$178.32 ,$185.21 ,$178.05 
