Date,Close/Last,Volume,Open,High,Low
11/25/2022,$97.60 ,8567819,$98.47 ,$98.94 ,$97.53 
11/23/2022,$98.82 ,17568860,$97.34 ,$99.07 ,$97.34 
11/22/2022,$97.33 ,18868850,$96.16 ,$97.55 ,$94.41 
11/21/2022,$95.83 ,18696870,$97.56 ,$98.72 ,$95.67 
11/18/2022,$97.80 ,24969880,$99.01 ,$99.16 ,$96.74 
11/17/2022,$98.50 ,21818730,$97.18 ,$99.48 ,$97.10 
11/16/2022,$98.99 ,24660200,$98.02 ,$99.85 ,$97.90 
11/15/2022,$98.72 ,31830970,$98.67 ,$100.42 ,$97.02 
11/14/2022,$96.03 ,24170080,$95.50 ,$97.18 ,$95.11 
11/11/2022,$96.73 ,30569110,$94.71 ,$97.36 ,$94.16 
11/10/2022,$94.17 ,42371220,$92.34 ,$94.55 ,$91.65 
11/9/2022,$87.40 ,26743880,$88.55 ,$89.49 ,$87.36 
11/8/2022,$88.91 ,30172000,$89.16 ,$90.41 ,$87.65 
11/7/2022,$88.65 ,26899880,$87.34 ,$88.94 ,$86.96 
11/4/2022,$86.70 ,40173280,$85.51 ,$86.73 ,$83.88 
11/3/2022,$83.49 ,48510360,$86.35 ,$86.55 ,$83.45 
11/2/2022,$87.07 ,43553550,$90.91 ,$91.30 ,$87.01 
11/1/2022,$90.50 ,43220600,$95.59 ,$96.17 ,$90.43 
10/31/2022,$94.66 ,29868710,$95.78 ,$96.35 ,$94.38 
10/28/2022,$96.58 ,35696930,$92.53 ,$96.86 ,$92.32 
10/27/2022,$92.60 ,54036490,$94.31 ,$95.17 ,$91.90 
10/26/2022,$94.82 ,71671810,$96.76 ,$98.54 ,$94.57 
10/25/2022,$104.93 ,29910170,$103.30 ,$105.10 ,$103.02 
10/24/2022,$102.97 ,24680830,$102.09 ,$103.10 ,$100.30 
10/21/2022,$101.48 ,28988730,$98.46 ,$101.62 ,$98.23 
10/20/2022,$100.53 ,25125080,$100.82 ,$103 ,$99.97 
10/19/2022,$100.29 ,21573690,$100.70 ,$101.66 ,$99.64 
10/18/2022,$101.39 ,21610540,$103.94 ,$104.22 ,$100.65 
10/17/2022,$100.78 ,23311600,$99.52 ,$101.77 ,$99.51 
10/14/2022,$97.18 ,22624830,$100.63 ,$101.29 ,$97.03 
10/13/2022,$99.71 ,32812220,$95.93 ,$100.53 ,$95.27 
10/12/2022,$98.30 ,17343430,$98.27 ,$99.65 ,$97.67 
10/11/2022,$98.05 ,21617730,$98.25 ,$100.12 ,$97.25 
10/10/2022,$98.71 ,16529900,$99.85 ,$99.99 ,$97.87 
10/7/2022,$99.57 ,24249910,$100.65 ,$101.42 ,$99.21 
10/6/2022,$102.24 ,17156240,$101.50 ,$103.73 ,$101.50 
10/5/2022,$102.22 ,18475520,$100.69 ,$102.74 ,$99.74 
10/4/2022,$102.41 ,22580930,$101.04 ,$102.72 ,$101.04 
10/3/2022,$99.30 ,24840030,$97.22 ,$99.97 ,$97.02 
9/30/2022,$96.15 ,26277830,$97.73 ,$99.49 ,$96.03 
9/29/2022,$98.09 ,21921520,$99.30 ,$99.30 ,$96.52 
9/28/2022,$100.74 ,24617000,$98.02 ,$101.40 ,$97.80 
9/27/2022,$98.09 ,24224990,$99.91 ,$100.46 ,$97.34 
9/26/2022,$98.81 ,22437940,$98.61 ,$100.44 ,$98.38 
9/23/2022,$99.17 ,25656960,$100.06 ,$100.11 ,$98.01 
9/22/2022,$100.57 ,21272680,$99.45 ,$101.68 ,$99.41 
9/21/2022,$100.01 ,26596760,$102.24 ,$103.49 ,$99.99 
9/20/2022,$101.83 ,24001670,$102.88 ,$103.17 ,$101.12 
9/19/2022,$103.85 ,19738600,$102.54 ,$104.02 ,$102.37 
9/16/2022,$103.63 ,64540120,$102.97 ,$104.03 ,$101.86 
9/15/2022,$103.90 ,26494930,$105.01 ,$106.21 ,$103.31 
9/14/2022,$105.87 ,22115810,$105.44 ,$106.10 ,$104.50 
9/13/2022,$105.31 ,33014990,$108.89 ,$109.37 ,$105 
9/12/2022,$111.87 ,19732910,$111.99 ,$112.64 ,$110.93 
9/9/2022,$111.78 ,21745030,$110.05 ,$112 ,$110 
9/8/2022,$109.42 ,21660650,$109.18 ,$110.58 ,$108.06 
9/7/2022,$110.48 ,22987180,$107.76 ,$110.99 ,$107.62 
9/6/2022,$107.48 ,20565050,$108.14 ,$108.88 ,$106.51 
9/2/2022,$108.68 ,20618080,$111.34 ,$111.68 ,$108.13 
9/1/2022,$110.55 ,22784390,$109.20 ,$111.22 ,$108.19 
8/31/2022,$109.15 ,25897980,$111.63 ,$111.77 ,$109.05 
8/30/2022,$109.91 ,20548200,$111.03 ,$111.37 ,$108.80 
8/29/2022,$110.34 ,20386140,$110.78 ,$111.96 ,$109.81 
8/26/2022,$111.30 ,31698670,$115.81 ,$116.60 ,$111.22 
8/25/2022,$117.70 ,14874670,$115.15 ,$117.78 ,$115.05 
8/24/2022,$114.70 ,16051170,$114.45 ,$115.72 ,$113.78 
8/23/2022,$114.77 ,14390690,$114.32 ,$115.93 ,$114.30 
8/22/2022,$115.07 ,19316020,$116.10 ,$116.50 ,$114.67 
8/19/2022,$118.12 ,20186980,$119.87 ,$120 ,$117.67 
8/18/2022,$120.86 ,15652030,$120.23 ,$121.69 ,$119.55 
8/17/2022,$120.32 ,17589160,$120.93 ,$122.15 ,$120.20 
8/16/2022,$122.51 ,15626170,$122.32 ,$123.23 ,$121.54 
8/15/2022,$122.88 ,15524950,$122.21 ,$123.26 ,$121.57 
8/12/2022,$122.65 ,16121090,$121.16 ,$122.65 ,$120.40 
8/11/2022,$119.82 ,16671630,$122.08 ,$122.34 ,$119.55 
8/10/2022,$120.65 ,20497020,$119.59 ,$121.78 ,$119.36 
8/9/2022,$117.50 ,15424260,$117.99 ,$118.20 ,$116.56 
8/8/2022,$118.14 ,17061110,$119.12 ,$120.86 ,$117.83 
8/5/2022,$118.22 ,15615660,$116.93 ,$118.86 ,$116.71 
8/4/2022,$118.87 ,15757700,$118.30 ,$119.50 ,$117.71 
8/3/2022,$118.78 ,25302820,$116.34 ,$119.42 ,$116.15 
8/2/2022,$115.90 ,17911040,$114.43 ,$117.08 ,$114.26 
8/1/2022,$115.48 ,22856200,$115.53 ,$117.12 ,$114.69 
7/29/2022,$116.64 ,31336180,$113.40 ,$116.90 ,$113.23 
7/28/2022,$114.59 ,23303840,$112.80 ,$114.70 ,$111.85 
7/27/2022,$113.60 ,41474620,$109.60 ,$114.40 ,$108.42 
7/26/2022,$105.44 ,36626630,$107.43 ,$107.74 ,$104.76 
7/25/2022,$108.21 ,28289940,$108.88 ,$110.58 ,$107.01 
7/22/2022,$108.36 ,44455300,$111.81 ,$113.18 ,$107.60 
7/21/2022,$115.04 ,27267850,$115.09 ,$115.21 ,$111.91 
7/20/2022,$114.70 ,26780090,$114.06 ,$116.33 ,$113.26 
7/19/2022,$114.62 ,30992330,$111.73 ,$114.81 ,$110.50 
7/18/2022,$109.91 ,33353990,$113.44 ,$114.80 ,$109.30 
7/15/2022,$112.77 ,34330760,$112.96 ,$114.00 ,$111.82 
7/14/2022,$111.44 ,32365540,$110.83 ,$111.99 ,$109.33 
7/13/2022,$112.19 ,38958860,$112.64 ,$115.16 ,$111.82 
7/12/2022,$114.85 ,24970160,$116.84 ,$117.85 ,$114.62 
7/11/2022,$116.52 ,26830460,$118.65 ,$118.79 ,$116.23 
7/8/2022,$120.17 ,29082200,$117.55 ,$120.44 ,$117.51 
7/7/2022,$119.31 ,32183940,$116.01 ,$119.86 ,$115.53 
7/6/2022,$115.21 ,28852680,$114.09 ,$116.35 ,$112.25 
7/5/2022,$113.89 ,36429380,$107.51 ,$114.05 ,$106.25 
7/1/2022,$109.08 ,31027880,$108.34 ,$109.81 ,$107.11 
6/30/2022,$109.37 ,38046040,$110.50 ,$111.33 ,$107.31 
6/29/2022,$112.26 ,18627860,$112.15 ,$113.66 ,$111.55 
6/28/2022,$112.57 ,28316220,$116.35 ,$117.86 ,$112.44 
6/27/2022,$116.62 ,32839300,$118.94 ,$119.25 ,$116.00 
6/24/2022,$118.54 ,39122760,$113.60 ,$118.64 ,$113.60 
6/23/2022,$112.68 ,24709720,$112.95 ,$113.20 ,$111.03 
6/22/2022,$112.03 ,23921720,$111.16 ,$113.77 ,$110.72 
6/21/2022,$112.02 ,39010280,$109.70 ,$112.67 ,$109.29 
6/17/2022,$107.87 ,43516660,$106.54 ,$109.25 ,$105.63 
6/16/2022,$106.64 ,35313240,$108.15 ,$109.29 ,$105.79 
6/15/2022,$110.39 ,33192020,$108.90 ,$112.06 ,$108.12 
6/14/2022,$107.19 ,25480940,$106.89 ,$108.46 ,$106.35 
6/13/2022,$106.88 ,36756200,$107.45 ,$109.22 ,$106.59 
6/10/2022,$111.43 ,31349740,$112.78 ,$113.50 ,$110.86 
6/9/2022,$114.92 ,23141600,$116.34 ,$118.35 ,$114.87 
6/8/2022,$117.24 ,22544260,$116.88 ,$118.65 ,$116.70 
6/7/2022,$117.23 ,26413540,$115.65 ,$117.75 ,$115.13 
6/6/2022,$117.01 ,23786720,$116.74 ,$119.40 ,$116.53 
6/3/2022,$114.56 ,24952080,$115.99 ,$116.36 ,$113.67 
6/2/2022,$117.75 ,27495400,$114.19 ,$117.90 ,$113.31 
6/1/2022,$114.14 ,28629280,$114.93 ,$117.40 ,$113.55 
5/31/2022,$114.04 ,51301920,$113.08 ,$116.43 ,$112.57 
5/27/2022,$112.80 ,29924420,$109.79 ,$112.87 ,$109.55 
5/26/2022,$108.30 ,30287480,$106.05 ,$108.96 ,$105.49 
5/25/2022,$105.84 ,37899340,$105.14 ,$106.54 ,$104.21 
5/24/2022,$105.93 ,60386380,$106.38 ,$106.40 ,$102.21 
5/23/2022,$111.67 ,31558220,$110.10 ,$112.01 ,$109.15 
