Date,Close/Last,Volume,Open,High,Low
12/1/2022,$100.74 ,7030965,$101.02 ,$102.25 ,$100.25 
11/30/2022,$100.99 ,43647480,$94.82 ,$101.04 ,$94.42 
11/29/2022,$95.19 ,20061720,$95.73 ,$96.12 ,$94.11 
11/28/2022,$96.05 ,26252430,$97.04 ,$97.58 ,$95.61 
11/25/2022,$97.46 ,9701441,$98.24 ,$98.64 ,$97.40 
11/23/2022,$98.46 ,18868090,$97.09 ,$98.76 ,$97.09 
11/22/2022,$97.05 ,23438480,$95.95 ,$97.22 ,$94.05 
11/21/2022,$95.60 ,21647390,$97.29 ,$98.40 ,$95.36 
11/18/2022,$97.43 ,28342300,$98.77 ,$98.90 ,$96.37 
11/17/2022,$98.36 ,26052600,$96.97 ,$99.28 ,$96.79 
11/16/2022,$98.85 ,29105150,$97.90 ,$99.64 ,$97.64 
11/15/2022,$98.44 ,41640820,$98.26 ,$100.14 ,$96.71 
11/14/2022,$95.70 ,30179540,$95.09 ,$96.79 ,$94.51 
11/11/2022,$96.41 ,33090480,$94.69 ,$96.93 ,$93.92 
11/10/2022,$93.94 ,51620140,$92.25 ,$94.39 ,$91.61 
11/9/2022,$87.32 ,31769100,$88.45 ,$89.44 ,$87.28 
11/8/2022,$88.90 ,30429030,$88.90 ,$90.32 ,$87.59 
11/7/2022,$88.49 ,34078910,$87.28 ,$88.90 ,$86.85 
11/4/2022,$86.58 ,51124900,$85.40 ,$86.64 ,$83.71 
11/3/2022,$83.43 ,61288020,$86.32 ,$86.52 ,$83.34 
11/2/2022,$86.97 ,57038280,$90.94 ,$91.18 ,$86.88 
11/1/2022,$90.47 ,47161350,$95.45 ,$96.03 ,$90.37 
10/31/2022,$94.51 ,31675040,$95.42 ,$96.03 ,$93.98 
10/28/2022,$96.29 ,43697290,$92.27 ,$96.55 ,$92.13 
10/27/2022,$92.22 ,60710860,$94.52 ,$95.43 ,$91.80 
10/26/2022,$94.93 ,88279040,$96.43 ,$98.31 ,$94.69 
10/25/2022,$104.48 ,40611380,$102.90 ,$104.82 ,$102.72 
10/24/2022,$102.52 ,27176420,$101.80 ,$102.75 ,$99.98 
10/21/2022,$101.13 ,32458720,$97.85 ,$101.31 ,$97.72 
10/20/2022,$99.97 ,25323200,$100 ,$102.32 ,$99.39 
10/19/2022,$99.63 ,23811060,$100.01 ,$101.02 ,$98.92 
10/18/2022,$100.77 ,24060670,$103.13 ,$103.47 ,$99.97 
10/17/2022,$99.97 ,28419190,$98.86 ,$100.93 ,$98.83 
10/14/2022,$96.56 ,25410670,$99.99 ,$100.69 ,$96.37 
10/13/2022,$99.06 ,34574550,$95.15 ,$99.78 ,$94.38 
10/12/2022,$97.56 ,21876360,$97.30 ,$98.75 ,$96.74 
10/11/2022,$97.18 ,26507100,$97.43 ,$99.25 ,$96.31 
10/10/2022,$97.86 ,18225090,$99 ,$99.10 ,$97.01 
10/7/2022,$98.68 ,27502770,$99.85 ,$100.53 ,$98.30 
10/6/2022,$101.42 ,22323990,$100.68 ,$102.93 ,$100.59 
10/5/2022,$101.43 ,22176900,$99.83 ,$101.93 ,$98.80 
10/4/2022,$101.64 ,28850770,$100.44 ,$101.84 ,$100.38 
10/3/2022,$98.64 ,27982030,$96.76 ,$99.29 ,$96.52 
9/30/2022,$95.65 ,32941490,$97.05 ,$98.90 ,$95.56 
9/29/2022,$97.42 ,31047220,$98.64 ,$98.64 ,$95.96 
9/28/2022,$100.05 ,32466320,$97.65 ,$100.70 ,$97.11 
9/27/2022,$97.50 ,30072780,$99.43 ,$100 ,$96.87 
9/26/2022,$98.17 ,27072660,$98.10 ,$99.88 ,$97.80 
9/23/2022,$98.74 ,31625440,$99.63 ,$99.66 ,$97.47 
9/22/2022,$100.14 ,34298620,$98.82 ,$101.24 ,$98.79 
9/21/2022,$99.28 ,31487270,$101.67 ,$102.88 ,$99.27 
9/20/2022,$101.14 ,26517120,$102.08 ,$102.37 ,$100.52 
9/19/2022,$103.07 ,23036810,$101.75 ,$103.33 ,$101.55 
9/16/2022,$102.80 ,42797170,$102.07 ,$103.13 ,$100.94 
9/15/2022,$102.91 ,34188280,$104.03 ,$105.27 ,$102.35 
9/14/2022,$105 ,26395130,$104.57 ,$105.28 ,$103.66 
9/13/2022,$104.32 ,38172870,$107.80 ,$108.30 ,$104.09 
9/12/2022,$110.86 ,22966750,$110.99 ,$111.62 ,$109.93 
9/9/2022,$110.65 ,23213590,$109.07 ,$110.99 ,$109.02 
9/8/2022,$108.38 ,24238290,$108.04 ,$109.60 ,$107.16 
9/7/2022,$109.45 ,23166970,$107.06 ,$109.98 ,$106.90 
9/6/2022,$106.81 ,25068280,$107.30 ,$108.03 ,$105.78 
9/2/2022,$107.85 ,24160710,$110.59 ,$110.74 ,$107.26 
9/1/2022,$109.74 ,28360930,$108.28 ,$110.45 ,$107.36 
8/31/2022,$108.22 ,28626970,$110.65 ,$110.85 ,$108.13 
8/30/2022,$108.94 ,27513260,$110.17 ,$110.50 ,$107.80 
8/29/2022,$109.42 ,21191160,$109.99 ,$110.95 ,$108.80 
8/26/2022,$110.34 ,37245700,$114.72 ,$115.12 ,$110.19 
8/25/2022,$116.65 ,16956790,$114.24 ,$116.72 ,$114.11 
8/24/2022,$113.69 ,17734620,$113.50 ,$114.78 ,$112.87 
8/23/2022,$113.86 ,15870370,$113.48 ,$115.01 ,$113.43 
8/22/2022,$114.24 ,21456650,$115.20 ,$115.63 ,$113.85 
8/19/2022,$117.21 ,21809530,$119.06 ,$119.15 ,$116.76 
8/18/2022,$120.17 ,17987660,$119.43 ,$120.82 ,$118.72 
8/17/2022,$119.55 ,22846960,$120.12 ,$121.29 ,$119.38 
8/16/2022,$121.70 ,19041230,$121.52 ,$122.43 ,$120.64 
8/15/2022,$122.08 ,19494830,$121.13 ,$122.30 ,$120.61 
8/12/2022,$121.68 ,19096270,$120.26 ,$121.68 ,$119.46 
8/11/2022,$118.84 ,24293650,$121.28 ,$121.49 ,$118.56 
8/10/2022,$119.70 ,30930350,$118.78 ,$120.92 ,$118.41 
8/9/2022,$116.63 ,19086470,$117.14 ,$117.32 ,$115.71 
8/8/2022,$117.30 ,19169480,$118.39 ,$120.15 ,$116.88 
8/5/2022,$117.47 ,19159520,$116.23 ,$118.11 ,$116 
8/4/2022,$118.19 ,21602930,$117.48 ,$118.78 ,$116.89 
8/3/2022,$118.08 ,28499010,$115.71 ,$118.62 ,$115.48 
8/2/2022,$115.13 ,20236030,$114 ,$116.35 ,$113.72 
8/1/2022,$114.86 ,26034290,$115.30 ,$116.72 ,$114.34 
7/29/2022,$116.32 ,37223390,$113.08 ,$116.71 ,$113.06 
7/28/2022,$114.22 ,32816570,$112.37 ,$114.34 ,$111.46 
7/27/2022,$113.06 ,59858500,$109.26 ,$113.91 ,$108.01 
7/26/2022,$105.02 ,47990960,$106.60 ,$107.20 ,$104.07 
7/25/2022,$107.51 ,34690890,$108.41 ,$109.87 ,$106.30 
7/22/2022,$107.90 ,48901180,$111 ,$112.34 ,$106.50 
7/21/2022,$114.34 ,32676170,$114.28 ,$114.55 ,$111.11 
7/20/2022,$113.90 ,35600430,$113.17 ,$115.40 ,$112.48 
7/19/2022,$113.81 ,36530950,$110.85 ,$114.02 ,$109.56 
7/18/2022,$109.03 ,43164590,$112.64 ,$113.68 ,$108.37 
7/15/2022,$111.78 ,46769120,$112.00 ,$113.14 ,$110.90 
7/14/2022,$110.37 ,37003040,$110.21 ,$111.09 ,$108.37 
7/13/2022,$111.35 ,43722020,$111.70 ,$114.20 ,$111.20 
7/12/2022,$114.02 ,29959700,$116.22 ,$116.97 ,$113.69 
7/11/2022,$115.68 ,31243700,$118.00 ,$118.00 ,$115.33 
7/8/2022,$119.35 ,38238160,$117.25 ,$119.69 ,$116.90 
7/7/2022,$118.78 ,40935880,$115.08 ,$119.19 ,$114.83 
7/6/2022,$114.57 ,37431380,$113.30 ,$115.59 ,$111.48 
7/5/2022,$113.26 ,39399640,$107.10 ,$113.38 ,$105.73 
7/1/2022,$108.74 ,35475660,$107.93 ,$109.25 ,$106.73 
6/30/2022,$108.96 ,43169060,$110 ,$110.89 ,$106.75 
6/29/2022,$111.70 ,24716820,$111.55 ,$113.16 ,$110.87 
6/28/2022,$112.01 ,35880960,$115.80 ,$117.31 ,$111.85 
6/27/2022,$115.83 ,36420760,$118.27 ,$118.58 ,$115.18 
6/24/2022,$117.98 ,41163680,$113.00 ,$118.08 ,$112.95 
6/23/2022,$112.24 ,28361920,$112.23 ,$112.74 ,$110.50 
6/22/2022,$111.49 ,30774140,$110.56 ,$113.35 ,$110.38 
6/21/2022,$111.54 ,47415800,$108.93 ,$112.49 ,$108.60 
6/17/2022,$107.14 ,51376520,$106.03 ,$108.70 ,$105.05 
6/16/2022,$106.03 ,51684960,$107.22 ,$108.65 ,$105.14 
6/15/2022,$109.76 ,39698180,$108.55 ,$111.42 ,$107.67 
6/14/2022,$106.72 ,33706260,$106.54 ,$107.92 ,$105.80 
6/13/2022,$106.39 ,47251920,$106.79 ,$108.79 ,$106.12 
6/10/2022,$111.16 ,41481840,$112.45 ,$113.28 ,$110.37 
6/9/2022,$114.84 ,25797960,$116.33 ,$118.30 ,$114.78 
6/8/2022,$117.19 ,26107740,$116.76 ,$118.57 ,$116.60 
6/7/2022,$117.15 ,31590460,$115.48 ,$117.69 ,$115.05 
6/6/2022,$116.82 ,33541540,$116.70 ,$119.35 ,$116.16 
6/3/2022,$114.54 ,26135460,$116.06 ,$116.32 ,$113.52 
6/2/2022,$117.62 ,37992280,$114 ,$117.90 ,$112.95 
6/1/2022,$113.89 ,36605520,$114.86 ,$117.10 ,$113.25 
5/31/2022,$113.76 ,50012260,$112.75 ,$115.74 ,$112.08 
5/27/2022,$112.32 ,37914120,$109.48 ,$112.32 ,$109.14 
5/26/2022,$107.79 ,37947220,$105.68 ,$108.65 ,$105.22 
5/25/2022,$105.81 ,40257340,$104.99 ,$106.50 ,$103.86 
5/24/2022,$105.97 ,76779780,$105.77 ,$106.46 ,$101.88 
5/23/2022,$111.49 ,37184940,$109.59 ,$112.15 ,$108.74 
5/20/2022,$108.91 ,48962960,$111.95 ,$112.18 ,$105.80 
5/19/2022,$110.38 ,34144400,$111.43 ,$113.01 ,$110 
5/18/2022,$111.90 ,35125980,$115 ,$115.40 ,$111.56 
