Date,Close/Last,Volume,Open,High,Low
11/25/2022,$247.49 ,9200772,$247.31 ,$248.70 ,$246.73 
11/23/2022,$247.58 ,19508460,$245.11 ,$248.28 ,$244.27 
11/22/2022,$245.03 ,19665700,$243.59 ,$245.31 ,$240.71 
11/21/2022,$242.05 ,26394700,$241.43 ,$244.67 ,$241.19 
11/18/2022,$241.22 ,27613520,$243.51 ,$243.74 ,$239.03 
11/17/2022,$241.68 ,23123540,$237.78 ,$243.25 ,$237.63 
11/16/2022,$241.73 ,24093270,$242.79 ,$243.80 ,$240.42 
11/15/2022,$241.97 ,31390120,$245.66 ,$247 ,$240.03 
11/14/2022,$241.55 ,31123340,$241.99 ,$243.91 ,$239.21 
11/11/2022,$247.11 ,34620250,$242.99 ,$247.99 ,$241.93 
11/10/2022,$242.98 ,46268020,$235.43 ,$243.33 ,$235 
11/9/2022,$224.51 ,27852910,$227.37 ,$228.63 ,$224.33 
11/8/2022,$228.87 ,28192550,$228.70 ,$231.65 ,$225.84 
11/7/2022,$227.87 ,33497980,$221.99 ,$228.41 ,$221.28 
11/4/2022,$221.39 ,36789060,$217.55 ,$221.59 ,$213.43 
11/3/2022,$214.25 ,36633920,$220.09 ,$220.41 ,$213.98 
11/2/2022,$220.10 ,38407010,$229.46 ,$231.30 ,$220.04 
11/1/2022,$228.17 ,30592270,$234.60 ,$235.74 ,$227.33 
10/31/2022,$232.13 ,28357270,$233.76 ,$234.92 ,$231.15 
10/28/2022,$235.87 ,40647720,$226.24 ,$236.60 ,$226.05 
10/27/2022,$226.75 ,40424650,$231.04 ,$233.69 ,$225.78 
10/26/2022,$231.32 ,82684850,$231.17 ,$238.30 ,$230.06 
10/25/2022,$250.66 ,34775510,$247.26 ,$251.04 ,$245.83 
10/24/2022,$247.25 ,24911210,$243.76 ,$247.84 ,$241.30 
10/21/2022,$242.12 ,26299730,$234.74 ,$243 ,$234.50 
10/20/2022,$236.15 ,21811020,$235.77 ,$241.31 ,$234.87 
10/19/2022,$236.48 ,19985700,$237.04 ,$239.61 ,$234.29 
10/18/2022,$238.50 ,26329590,$243.24 ,$243.93 ,$235.37 
10/17/2022,$237.53 ,28142270,$235.82 ,$238.96 ,$235.14 
10/14/2022,$228.56 ,30198590,$235.54 ,$237.24 ,$228.34 
10/13/2022,$234.24 ,42551820,$219.85 ,$236.10 ,$219.13 
10/12/2022,$225.75 ,21903940,$225.40 ,$227.86 ,$223.96 
10/11/2022,$225.41 ,30473950,$227.62 ,$229.06 ,$224.11 
10/10/2022,$229.25 ,29743610,$233.05 ,$234.56 ,$226.73 
10/7/2022,$234.24 ,37769600,$240.90 ,$241.32 ,$233.17 
10/6/2022,$246.79 ,20239890,$247.93 ,$250.34 ,$246.08 
10/5/2022,$249.20 ,20347140,$245.99 ,$250.58 ,$244.10 
10/4/2022,$248.88 ,34888420,$245.09 ,$250.36 ,$244.98 
10/3/2022,$240.74 ,28880360,$235.41 ,$241.61 ,$234.66 
9/30/2022,$232.90 ,35694830,$238.29 ,$240.54 ,$232.73 
9/29/2022,$237.50 ,27484230,$238.89 ,$239.95 ,$234.41 
9/28/2022,$241.07 ,29029680,$236.81 ,$242.33 ,$234.73 
9/27/2022,$236.41 ,27018730,$239.98 ,$241.80 ,$234.50 
