Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,452.890015,455.920013,444.140015,444.339996,438.643158,4325500
2021-12-02,443.149994,447.890015,439.220001,446.019989,440.301636,4738700
2021-12-03,447.769989,454.440002,445.170013,449.320007,445.006012,3038300
2021-12-06,452.149994,461.779999,451.519989,460.109985,455.692413,4721500
2021-12-07,462.750000,465.750000,460.230011,464.730011,460.268097,3105200
2021-12-08,466.089996,470.170013,462.489990,468.859985,464.358429,3228300
2021-12-09,468.529999,474.480011,467.359985,473.320007,468.775604,2977400
2021-12-10,472.000000,478.480011,471.010010,478.230011,473.638458,2572300
2021-12-13,477.019989,480.260010,474.010010,478.140015,473.549347,2724800
2021-12-14,479.750000,483.040009,477.179993,479.459991,474.856628,3018000
2021-12-15,480.600006,495.399994,480.140015,494.380005,489.633392,4188600
2021-12-16,494.010010,496.959991,490.109985,492.859985,488.127991,4080800
2021-12-17,491.420013,493.130005,486.380005,487.119995,482.443085,5707200
2021-12-20,482.000000,485.010010,475.260010,483.730011,479.085663,3145600
2021-12-21,487.019989,489.000000,482.200012,487.209991,482.532227,2536000
2021-12-22,487.149994,495.450012,485.899994,494.130005,489.385803,1687500
2021-12-23,495.000000,498.149994,492.809998,495.380005,490.623779,1706500
2021-12-27,498.679993,500.299988,496.640015,499.500000,494.704254,1349400
2021-12-28,502.000000,505.320007,500.399994,502.940002,498.111206,1495500
2021-12-29,504.779999,507.220001,502.000000,505.579987,500.725861,1573900
2021-12-30,507.929993,509.230011,503.649994,504.429993,499.586884,1309800
2021-12-31,504.140015,506.869995,502.040009,502.140015,497.318909,1695400
2022-01-03,500.000000,502.899994,493.049988,502.279999,497.457550,3033600
2022-01-04,503.200012,503.750000,490.880005,490.899994,486.186798,3908100
2022-01-05,494.769989,497.000000,489.690002,489.690002,484.988434,3921100
2022-01-06,480.000000,484.140015,463.119995,469.649994,465.140808,6555200
2022-01-07,467.690002,467.970001,455.549988,458.600006,454.196899,5494200
2022-01-10,456.000000,465.859985,454.440002,465.000000,460.535461,5831800
2022-01-11,467.200012,470.450012,460.670013,469.000000,464.497040,3332800
2022-01-12,468.970001,475.320007,466.339996,473.720001,469.171753,3502300
2022-01-13,475.890015,476.549988,465.980011,467.429993,462.942108,3005300
2022-01-14,469.890015,473.170013,465.079987,468.690002,464.190033,3665400
2022-01-18,465.170013,465.709991,458.350006,460.989990,456.563934,3938800
2022-01-19,468.000000,475.489990,461.510010,462.519989,458.079285,4030900
2022-01-20,464.380005,471.630005,462.000000,463.000000,458.554657,3228600
2022-01-21,463.500000,470.790009,461.070007,461.170013,456.742279,4273200
2022-01-24,458.070007,464.140015,448.130005,462.269989,457.831665,4780700
2022-01-25,454.070007,459.489990,447.269989,456.839996,452.453827,3428900
2022-01-26,458.450012,463.880005,453.450012,458.429993,454.028564,4435900
2022-01-27,458.079987,468.679993,457.010010,461.600006,457.168121,3508100
2022-01-28,461.399994,466.279999,455.079987,466.059998,461.585297,3364400
2022-01-31,465.000000,473.179993,464.399994,472.570007,468.032776,3500500
2022-02-01,475.000000,475.000000,462.750000,468.410004,463.912750,3148600
2022-02-02,469.059998,481.980011,469.059998,479.779999,475.173553,3026800
2022-02-03,498.649994,500.179993,483.570007,488.769989,484.077240,4370900
2022-02-04,481.750000,489.630005,480.190002,483.170013,478.531006,3066400
2022-02-07,484.910004,487.260010,481.299988,483.700012,479.055939,2937200
2022-02-08,481.350006,495.670013,481.350006,493.410004,488.672699,3534700
2022-02-09,497.000000,500.929993,496.290009,498.100006,493.317719,2818100
2022-02-10,492.239990,494.220001,485.070007,486.720001,482.046936,2626100
2022-02-11,484.679993,490.429993,476.440002,478.130005,473.539429,2493800
2022-02-14,475.109985,477.739990,469.329987,474.399994,469.845215,2549500
2022-02-15,475.940002,481.170013,475.200012,478.230011,473.638458,3001000
2022-02-16,475.500000,481.730011,471.399994,480.049988,475.440979,2651800
2022-02-17,478.170013,479.290009,468.890015,470.339996,465.824188,2403100
2022-02-18,470.250000,474.920013,466.829987,467.809998,463.318481,2992300
2022-02-22,463.829987,467.190002,457.820007,462.510010,458.069427,3029800
2022-02-23,467.190002,467.720001,458.839996,459.619995,455.207123,2840300
2022-02-24,449.519989,456.589996,445.739990,455.890015,451.512970,3933000
2022-02-25,456.649994,475.779999,456.230011,475.750000,471.182251,3314400
2022-02-28,465.850006,477.309998,465.609985,475.869995,471.301086,3918300
2022-03-01,470.890015,476.959991,467.730011,476.250000,471.677429,2917600
2022-03-02,478.190002,487.170013,477.890015,485.380005,480.719788,3675900
2022-03-03,486.000000,491.380005,482.220001,486.589996,481.918182,3139400
2022-03-04,480.690002,499.660004,477.489990,498.649994,493.862396,4170100
2022-03-07,500.000000,500.000000,483.019989,486.869995,482.195496,4123300
2022-03-08,478.799988,484.489990,471.519989,473.459991,468.914215,3849500
2022-03-09,482.579987,487.720001,473.589996,485.570007,480.907990,3115500
2022-03-10,479.329987,493.709991,477.829987,491.440002,486.721588,2834800
2022-03-11,487.829987,493.799988,482.510010,482.869995,479.649109,2615000
2022-03-14,490.399994,495.589996,485.279999,487.920013,484.665436,2704100
2022-03-15,490.000000,499.940002,487.309998,497.910004,494.588776,3043000
2022-03-16,499.829987,505.500000,490.010010,498.260010,494.936432,3497100
2022-03-17,496.000000,507.119995,495.179993,507.019989,503.638000,2357200
2022-03-18,508.739990,510.679993,501.559998,506.119995,502.744019,5065600
2022-03-21,505.010010,513.000000,504.359985,507.660004,504.273743,2617700
2022-03-22,509.269989,511.850006,504.839996,505.320007,501.949371,2752500
2022-03-23,502.269989,507.059998,501.329987,503.230011,499.873291,2753200
2022-03-24,505.000000,515.780029,503.859985,513.460022,510.035065,2789200
2022-03-25,514.190002,516.530029,509.239990,513.030029,509.607941,2551100
2022-03-28,514.320007,517.140015,508.809998,513.200012,509.776794,2643000
2022-03-29,517.099976,519.590027,507.299988,510.730011,507.323273,3478400
2022-03-30,515.109985,521.200012,512.479980,520.820007,517.345947,3041200
2022-03-31,517.099976,521.890015,509.670013,509.970001,506.568329,3979700
2022-04-01,510.679993,514.780029,506.600006,512.590027,509.170898,2344100
2022-04-04,512.210022,512.479980,504.529999,510.019989,506.617981,2657500
2022-04-05,510.000000,524.729980,508.000000,517.760010,514.306396,3268600
2022-04-06,518.219971,533.520020,518.000000,531.750000,528.203064,3955600
2022-04-07,530.000000,538.280029,528.390015,536.950012,533.368347,2867000
2022-04-08,539.000000,548.969971,538.099976,545.960022,542.318298,3986700
2022-04-11,543.599976,547.609985,536.640015,537.440002,533.855103,3574000
2022-04-12,535.409973,540.729980,530.780029,533.710022,530.149963,3575700
2022-04-13,533.320007,538.280029,528.619995,537.000000,533.418030,3012000
2022-04-14,538.500000,553.289978,534.070007,534.820007,531.252625,4211300
2022-04-18,537.900024,541.000000,530.380005,534.080017,530.517517,2087100
2022-04-19,535.890015,542.479980,535.239990,537.700012,534.113403,2207600
2022-04-20,542.140015,548.359985,539.000000,546.010010,542.367920,2986300
2022-04-21,545.500000,548.000000,536.030029,537.440002,533.855103,2539900
2022-04-22,532.059998,533.349976,520.179993,520.940002,517.465149,3453300
2022-04-25,520.400024,526.260010,511.730011,524.270020,520.772949,3030400
2022-04-26,524.239990,526.260010,513.510010,513.780029,510.352966,2895300
2022-04-27,514.909973,520.900024,509.820007,513.809998,510.382690,3353700
2022-04-28,516.760010,526.280029,513.169983,524.419983,520.921936,2582700
2022-04-29,518.849976,519.900024,506.959991,508.549988,505.157806,2873200
2022-05-02,510.809998,513.510010,493.339996,501.149994,497.807159,3184300
2022-05-03,501.130005,505.519989,497.480011,499.619995,496.287384,2763400
2022-05-04,499.500000,509.769989,493.089996,507.619995,504.234009,4002600
2022-05-05,507.209991,510.670013,489.230011,494.720001,491.420044,3359700
2022-05-06,485.010010,501.570007,485.000000,499.619995,496.287384,3260300
2022-05-09,490.399994,494.630005,484.429993,486.420013,483.175446,3862700
2022-05-10,493.809998,496.350006,481.119995,488.010010,484.754822,4275500
2022-05-11,484.390015,500.519989,484.390015,486.149994,482.907227,3936300
2022-05-12,486.100006,486.890015,471.420013,478.799988,475.606232,3997600
2022-05-13,480.980011,487.000000,475.809998,485.399994,482.162201,2453400
2022-05-16,485.410004,495.559998,484.149994,489.220001,485.956757,2338800
2022-05-17,494.000000,494.720001,488.459991,492.529999,489.244690,2289000
